INVOICE_NUMBER,DATE,VENDOR_NUMBER,VENDORNAME,INVOICE_DESCRIPTION,ACCOUNT_DESCRIPTION,DEPTNAME,DEPTNUM,SUBDEPTNAME,SUBDEPTNUM,FYR,AMOUNT
9561853608,07-NOV-14,707,GRAINGER,SHOP EQUIPMENT/SUPPLIES,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,610.8
2015-00001967,07-NOV-14,622,NV ENERGY,UTILITIES,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Public utility service,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,2842.61
2015-00001986,07-NOV-14,622,NV ENERGY,UTILITIES,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Public utility service,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,5396.95
7/1/14-10/31/14,07-NOV-14,506,PETTY CASH-CORP YARD,PETTY CASH,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Miscellaneous operating expense,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,171.5
7/1/14-10/31/14,07-NOV-14,506,PETTY CASH-CORP YARD,PETTY CASH,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,135.92
108225,07-NOV-14,111,SAFETY ON SITE,FIRST AID/SAFETY SUPPLIES,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,27.8
0000137273,07-NOV-14,3378,SEWER EQUIPMENT COMPANY OF AMERICA,Replacements for motors that have failed and/or in use,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,115.58
0000137273,07-NOV-14,3378,SEWER EQUIPMENT COMPANY OF AMERICA,Replacements for motors that have failed and/or in use,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,7695.8
0000137273,07-NOV-14,3378,SEWER EQUIPMENT COMPANY OF AMERICA,Replacements for motors that have failed and/or in use,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,2186.35
70990941,07-NOV-14,3222,TIFCO INDUSTRIES,SHOP EQUIPMENT/SUPPLIES,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,182.67
2015-00001994,07-NOV-14,8277,TMWA,"UTILITIES, Water",SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Public utility service,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,101.99
2015-00001992,07-NOV-14,8277,TMWA,"UTILITIES, Water",SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Public utility service,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,19.75
271302,07-NOV-14,728,WEDCO INC,SEWER MAINTENANCE SUPPLIES,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,89.68
10/1/14-10/31/14,07-NOV-14,5362,,UTILITIES,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Public utility service,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,731.84
88114,07-NOV-14,375,LUMOS AND ASSOCIATES INC,CONSULTING SERVICES,SANITARY SEWER O/M FUND-Public Works-Sewer Lines Capital Projects-Capital projects,Public Works,1200,Public Works-Sewer Lines Capital Projects,1200-1244,Fiscal 14/15,57933.5
836181,07-NOV-14,8972,STANTEC CONSULTING INC,CONSULTING SERVICES,SANITARY SEWER O/M FUND-Public Works-Sewer Lines Capital Projects-Capital projects,Public Works,1200,Public Works-Sewer Lines Capital Projects,1200-1244,Fiscal 14/15,73073.1
2015-00001967,07-NOV-14,622,NV ENERGY,UTILITIES,STREET FUND-Public Works-Snow & Ice Control-Public utility service,Public Works,1200,Public Works-Snow & Ice Control,1200-1250,Fiscal 14/15,476.04
2015-00001992,07-NOV-14,8277,TMWA,"UTILITIES, Water",STREET FUND-Public Works-Snow & Ice Control-Public utility service,Public Works,1200,Public Works-Snow & Ice Control,1200-1250,Fiscal 14/15,27.22
2015-00001986,07-NOV-14,622,NV ENERGY,UTILITIES,SANITARY SEWER O/M FUND-Public Works-Stead Wastwater Facility-Public utility service,Public Works,1200,Public Works-Stead Wastwater Facility,1200-1241,Fiscal 14/15,11689.06
11799642,07-NOV-14,3833,"STANLEY CONVERGENT SECURITY SOLUTIONS, INC.","SECURITY, Alarm Service",SANITARY SEWER O/M FUND-Public Works-Stead Wastwater Facility-Outside services-other,Public Works,1200,Public Works-Stead Wastwater Facility,1200-1241,Fiscal 14/15,65
11799454,07-NOV-14,3833,"STANLEY CONVERGENT SECURITY SOLUTIONS, INC.","SECURITY, Alarm Service",SANITARY SEWER O/M FUND-Public Works-Stead Wastwater Facility-Outside services-other,Public Works,1200,Public Works-Stead Wastwater Facility,1200-1241,Fiscal 14/15,65
2015-00001992,07-NOV-14,8277,TMWA,"UTILITIES, Water",SANITARY SEWER O/M FUND-Public Works-Stead Wastwater Facility-Public utility service,Public Works,1200,Public Works-Stead Wastwater Facility,1200-1241,Fiscal 14/15,152.45
10/1/14-10/31/14,07-NOV-14,5362,,UTILITIES,SANITARY SEWER O/M FUND-Public Works-Stead Wastwater Facility-Public utility service,Public Works,1200,Public Works-Stead Wastwater Facility,1200-1241,Fiscal 14/15,5704.1
2015-00001986,07-NOV-14,622,NV ENERGY,UTILITIES,STREET FUND-Public Works-Street Sweeping-Public utility service,Public Works,1200,Public Works-Street Sweeping,1200-1218,Fiscal 14/15,56.9
2246,07-NOV-14,2696,INTERMOUNTAIN TRAFFIC LLC,TRAFFIC SIGNALS,GENERAL FUND-Public Works-Traffic Engineering & Operations-Outside services-other,Public Works,1200,Public Works-Traffic Operations,1200-1220,Fiscal 14/15,275
2245,07-NOV-14,2696,INTERMOUNTAIN TRAFFIC LLC,TRAFFIC SIGNALS,GENERAL FUND-Public Works-Traffic Engineering & Operations-Outside services-other,Public Works,1200,Public Works-Traffic Operations,1200-1220,Fiscal 14/15,275
2015-00001967,07-NOV-14,622,NV ENERGY,UTILITIES,STREET FUND-Public Works-Traffic Engineering & Operations-Public utility service,Public Works,1200,Public Works-Traffic Operations,1200-1220,Fiscal 14/15,353.02
2015-00001988,07-NOV-14,622,NV ENERGY,UTILITIES,STREET FUND-Public Works-Traffic Engineering & Operations-Public utility service,Public Works,1200,Public Works-Traffic Operations,1200-1220,Fiscal 14/15,189258.96
752576,07-NOV-14,3586,RAY MORGAN CO. INC.,COPIERS,GENERAL FUND-Public Works-Traffic Engineering & Operations-Supplies,Public Works,1200,Public Works-Traffic Operations,1200-1220,Fiscal 14/15,62.78
268185,07-NOV-14,728,WEDCO INC,SHOP EQUIPMENT/SUPPLIES,GENERAL FUND-Public Works-Traffic Engineering & Operations-Supplies,Public Works,1200,Public Works-Traffic Operations,1200-1220,Fiscal 14/15,28.91
269042,07-NOV-14,728,WEDCO INC,TRAFFIC SIGNALS,GENERAL FUND-Public Works-Traffic Engineering & Operations-Supplies,Public Works,1200,Public Works-Traffic Operations,1200-1220,Fiscal 14/15,17.28
269176,07-NOV-14,728,WEDCO INC,SHOP EQUIPMENT/SUPPLIES,GENERAL FUND-Public Works-Traffic Engineering & Operations-Supplies,Public Works,1200,Public Works-Traffic Operations,1200-1220,Fiscal 14/15,91.2
51051445 & 38,04-NOV-14,6155,,14B3F59373A40Q15,RENO SELF FUNDED MEDICAL FUND-Human Resources-Insurance Management-Outside services-other,Human Resources,0600,Human Resources-Insurance Management,0600-0690,Fiscal 14/15,1042.1
51051445 & 38,04-NOV-14,6155,,14B3F59373A40Q15,RENO SELF FUNDED MEDICAL FUND-Human Resources-Insurance Management-Claims-payments,Human Resources,0600,Human Resources-Insurance Management,0600-0690,Fiscal 14/15,45675.77
51051445 & 38,04-NOV-14,6155,,14B3F59373A40Q15,IAFF SELF FUNDED MEDICAL FUND-Human Resources-Insurance Management-Outside services-other,Human Resources,0600,Human Resources-Insurance Management,0600-0690,Fiscal 14/15,767.88
51051445 & 38,04-NOV-14,6155,,14B3F59373A40Q15,IAFF SELF FUNDED MEDICAL FUND-Human Resources-Insurance Management-Claims-payments,Human Resources,0600,Human Resources-Insurance Management,0600-0690,Fiscal 14/15,24929.32
2007A/1114,03-NOV-14,474,THE BANK OF NEW YORK,14ATE44403861906,2007 Sales Tax Increment Bonds-2007A Sales Tax Bonds (Cabela's 900406),Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,87364.96
2007B/1114,03-NOV-14,474,THE BANK OF NEW YORK,14ATE4S42EY42565,2007 Sales Tax Increment Bonds-2007B Sales Tax Bonds (Cabela's 900407),Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,118265.97
BOND 2014_1114,03-NOV-14,474,THE BANK OF NEW YORK,14AT935526530964,ReTRAC LEASE REVENUE-2014 Tax Lease Rev Bond Fund (497459),Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,94178.89
1538637,03-NOV-14,3773,SUNTRUST EQUIPMENT FINANCE AND LEASING CORP.,14AT94018D250482,SAD 2004 #4 DEBT FUND-Debt Service-Non-Departmental-Interest-special assessment,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,7584.07
1538636,03-NOV-14,3773,SUNTRUST EQUIPMENT FINANCE AND LEASING CORP.,14AT93834KV30G64,SAD 2006 #2 DEBT FUND-Debt Service-Non-Departmental-Interest-special assessment,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,822.43
1538637,03-NOV-14,3773,SUNTRUST EQUIPMENT FINANCE AND LEASING CORP.,14AT94018D250482,SAD 2004 #2 DEBT FUND-Debt Service-Non-Departmental-Principal-Special Assessments,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,6000
1538637,03-NOV-14,3773,SUNTRUST EQUIPMENT FINANCE AND LEASING CORP.,14AT94018D250482,SAD 2005 #2 DEBT FUND-Debt Service-Non-Departmental-Interest-special assessment,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,732.65
1538637,03-NOV-14,3773,SUNTRUST EQUIPMENT FINANCE AND LEASING CORP.,14AT94018D250482,SAD 2004 #1 DEBT FUND-Debt Service-Non-Departmental-Interest-special assessment,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,1877.2
1538636,03-NOV-14,3773,SUNTRUST EQUIPMENT FINANCE AND LEASING CORP.,14AT93834KV30G64,SAD 2006 #1 DEBT FUND-Debt Service-Non-Departmental-Principal-Special Assessments,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,3000
1538637,03-NOV-14,3773,SUNTRUST EQUIPMENT FINANCE AND LEASING CORP.,14AT94018D250482,SAD 2004 #2 DEBT FUND-Debt Service-Non-Departmental-Interest-special assessment,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,3191.53
1538637,03-NOV-14,3773,SUNTRUST EQUIPMENT FINANCE AND LEASING CORP.,14AT94018D250482,SAD 2004 #3 DEBT FUND-Debt Service-Non-Departmental-Interest-special assessment,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,1011.19
1538637,03-NOV-14,3773,SUNTRUST EQUIPMENT FINANCE AND LEASING CORP.,14AT94018D250482,SAD 2005 #2 DEBT FUND-Debt Service-Non-Departmental-Principal-Special Assessments,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,1000
1538637,03-NOV-14,3773,SUNTRUST EQUIPMENT FINANCE AND LEASING CORP.,14AT94018D250482,SAD 2004 #3 DEBT FUND-Debt Service-Non-Departmental-Principal-Special Assessments,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,1000
1538636,03-NOV-14,3773,SUNTRUST EQUIPMENT FINANCE AND LEASING CORP.,14AT93834KV30G64,SAD 2006 #1 DEBT FUND-Debt Service-Non-Departmental-Interest-special assessment,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,749.29
1538637,03-NOV-14,3773,SUNTRUST EQUIPMENT FINANCE AND LEASING CORP.,14AT94018D250482,SAD 2005 #1 DEBT FUND-Debt Service-Non-Departmental-Interest-special assessment,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,2478.02
1538637,03-NOV-14,3773,SUNTRUST EQUIPMENT FINANCE AND LEASING CORP.,14AT94018D250482,SAD 2004 #4 DEBT FUND-Debt Service-Non-Departmental-Principal-Special Assessments,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,10000
1538636,03-NOV-14,3773,SUNTRUST EQUIPMENT FINANCE AND LEASING CORP.,14AT93834KV30G64,SAD 2007 #1 DEBT FUND-Debt Service-Non-Departmental-Interest-special assessment,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,553.45
1538637,03-NOV-14,3773,SUNTRUST EQUIPMENT FINANCE AND LEASING CORP.,14AT94018D250482,SAD 2005 #3 DEBT FUND-Debt Service-Non-Departmental-Interest-special assessment,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,1281.24
1538636,03-NOV-14,3773,SUNTRUST EQUIPMENT FINANCE AND LEASING CORP.,14AT93834KV30G64,SAD 2007 #1 DEBT FUND-Debt Service-Non-Departmental-Principal-Special Assessments,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,1000
RENOSAL08A_1114,03-NOV-14,474,THE BANK OF NEW YORK,DEBT SERVICE PAYMENTS-BONDS,RAILROAD DEBT SERVICE FUND-Debt Service-Non-Departmental-Interest-SWAP-08-Sales Tax,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,7003.62
RENOSAL08A_1114,03-NOV-14,474,THE BANK OF NEW YORK,DEBT SERVICE PAYMENTS-BONDS,RAILROAD DEBT SERVICE FUND-Debt Service-Non-Departmental-Outside services-other,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,250
RENOCAP05A_1114,03-NOV-14,474,THE BANK OF NEW YORK,14AVE52475Q60C17,EVENT CENTER BOND DEBT FUND-Debt Service-Non-Departmental-Outside services-other,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,250
OCTOBER 2014,03-NOV-14,5854,,BANKING SERVICES,SANITARY SEWER O/M FUND-Finance-Sewer Collections-Credit Card Fees,Finance,0400,Finance-Sewer Collections,0400-0455,Fiscal 14/15,4527.26
1ST QTR 2015,03-NOV-14,8155,NEVADA STATE DEPT OF BUSINESS & INDUSTRY,14ARA0611A731323,WORKERS COMP SELF FUNDED -Human Resources-Workers Compensation-Miscellaneous operating expense,Human Resources,0600,Human Resources-Workers Compensation-Safety,0600-0360,Fiscal 14/15,122179.08
1409302925,31-OCT-14,3790,LEXISNEXIS,SUBSCRIPTIONS/BOOKS/MANUALS/PUBLICATIONS,GENERAL FUND-City Attorney-Criminal Division-Miscellaneous operating expense,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,667
2015-00001941,31-OCT-14,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00001933,31-OCT-14,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00001944,31-OCT-14,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00001928,31-OCT-14,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00001932,31-OCT-14,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00001935,31-OCT-14,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00001934,31-OCT-14,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00001930,31-OCT-14,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00001942,31-OCT-14,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00001940,31-OCT-14,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00001931,31-OCT-14,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00001938,31-OCT-14,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00001927,31-OCT-14,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00001943,31-OCT-14,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00001936,31-OCT-14,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00001939,31-OCT-14,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00001937,31-OCT-14,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
2015-00001929,31-OCT-14,9999999999,TEMP,WITNESS FEES,GENERAL FUND-City Attorney-Criminal Division-Witness fees,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,26
XJJP2F312,31-OCT-14,8855,DELL COMPUTER CORP,Computer for City Clerks Office,GENERAL FUND-City Clerk-Council Support-Supplies,City Clerk,0200,City Clerk-Council Support,0200-0385,Fiscal 14/15,600.32
00246928,31-OCT-14,417,MUNICIPAL CODE CORPORATION,SUBSCRIPTIONS/BOOKS/MANUALS/PUBLICATIONS,GENERAL FUND-City Clerk-Council Support-Outside services-other,City Clerk,0200,City Clerk-Council Support,0200-0385,Fiscal 14/15,2416.7
IV0324644,31-OCT-14,683,TRIPP PLASTICS INC,OFFICE SUPPLIES,GENERAL FUND-City Clerk-Council Support-Supplies,City Clerk,0200,City Clerk-Council Support,0200-0385,Fiscal 14/15,34.65
2014-9-00414,31-OCT-14,8669,PULIZ RECORDS MANAGEMENT SERV,MICROFILM,GENERAL FUND-City Clerk-Records Management-Outside services-other,City Clerk,0200,City Clerk-Records Management,0200-0210,Fiscal 14/15,3172.56
PPE 10/16/2014,24-OCT-14,5757,ING LIFE INSURANCE & ANNUITY,ADP PAYROLL - VENDORS PD BY CHECK,GENERAL FUND-Insurance ING Life,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,103.6
109095,31-OCT-14,668,BOARD OF REGENTS-UNR M/S 294,ADVERTISING/PROMOTIONAL SERVICES,ROOM TAX FUND-City Council-Council Tourism-Non-city programs,City Council,0100,City Council-Council Tourism,0100-0110,Fiscal 14/15,100
2015-00001945,31-OCT-14,6792,CHARTER COMMUNICATIONS,CABLE TELEVISION,GENERAL FUND-City Council-Legislative-Communication,City Council,0100,City Council-Legislative,0100-0180,Fiscal 14/15,39.95
2015-00001945,31-OCT-14,6792,CHARTER COMMUNICATIONS,CABLE TELEVISION,GENERAL FUND-City Manager-Administration-Communication,City Manager,0300,City Manager-Administration,0300-0170,Fiscal 14/15,79.9
2015-00001949,31-OCT-14,515,PETTY CASH-CENTRAL CASHIERING,PETTY CASH,GENERAL FUND-City Manager-Administration-Miscellaneous operating expense,City Manager,0300,City Manager-Administration,0300-0170,Fiscal 14/15,59.95
2015-00001910,31-OCT-14,1371,MATIJEVICH,"TRAINING, Meals",GENERAL FUND-City Manager-Intergovernmental Relations-Employee training/travel,City Manager,0300,City Manager-Intergovernmental Relations,0300-0320,Fiscal 14/15,48
14-86,31-OCT-14,5588,,PROFESSIONAL SERVICES,GENERAL FUND-City Manager-Intergovernmental Relations-Legislative relations,City Manager,0300,City Manager-Intergovernmental Relations,0300-0320,Fiscal 14/15,5000
115GC000163,31-OCT-14,85,BOARD OF REGENTS-UNR M/S 124,PROFESSIONAL SERVICES,GENERAL FUND-City Manager-Office of Managment and Budget-Outside services-other,City Manager,0300,City Manager-Office of Managment and Budget,0300-0370,Fiscal 14/15,5000
741956,31-OCT-14,3586,RAY MORGAN CO. INC.,Maintenance/usage charges,GENERAL FUND-City Manager-Office of Managment and Budget-Supplies,City Manager,0300,City Manager-Office of Managment and Budget,0300-0370,Fiscal 14/15,132.31
660,31-OCT-14,6440,,PROFESSIONAL SERVICES,GENERAL FUND-City Manager-Office of Managment and Budget-Outside services-other,City Manager,0300,City Manager-Office of Managment and Budget,0300-0370,Fiscal 14/15,7990
733142969001,31-OCT-14,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,19.75
733361145001,31-OCT-14,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,130.5
732158246001,31-OCT-14,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,256.95
733169729001,31-OCT-14,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,191.48
732820297001,31-OCT-14,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,34.99
733451560001,31-OCT-14,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,-218
733259851001,31-OCT-14,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,19
733213869001,31-OCT-14,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,95
733214610001,31-OCT-14,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,21.85
733215066001,31-OCT-14,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,15.8
730313881001,31-OCT-14,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,44.99
733364607001,31-OCT-14,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,33.38
733365452001,31-OCT-14,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,6.59
732340992001,31-OCT-14,20517,OFFICE DEPOT,PRINTING/FORMS/REPRODUCTION,GENERAL FUND-City Manager-Public Information-Outside services-printing,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,29.99
2015-00001949,31-OCT-14,515,PETTY CASH-CENTRAL CASHIERING,PETTY CASH,GENERAL FUND-City Manager-Public Information-Supplies,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,52.96
0002345B,31-OCT-14,6413,,VIDEO PRODUCTION SERVICES & SUPPLIES,GENERAL FUND-City Manager-Public Information-Outside services-other,City Manager,0300,City Manager-Public Information,0300-0371,Fiscal 14/15,150
17405,31-OCT-14,2570,"AMERICAN SIGN & CRANE SERVICE, INC","LAMPS/LIGHTING, Street",GENERAL FUND-City Manager-Special Events-Non-city programs,City Manager,0300,City Manager-Special Events,0300-0330,Fiscal 14/15,800
2015-00001953,31-OCT-14,33,BANK OF AMERICA - CARDS,BANKCARD SERVICES,"GENERAL FUND-Advance, purchasing card",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,163145.84
13538-008,31-OCT-14,1408,Q & D CONSTRUCTION,CONTRACTORS,"STREET FUND-Deposits, permanent patch - CY 2014",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,28671
1ST QTR 2015,31-OCT-14,2224,REGIONAL TRANSPORTATION COMM,FEES,"STREET IMPACT FEE FUND-Due to RTC, impact fees",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,93569.16
1ST QTR 2015,31-OCT-14,2224,REGIONAL TRANSPORTATION COMM,FEES,"STREET IMPACT FEE FUND-Due to RTC, impact fees",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,116810.53
